timestamp,min_cpu,max_cpu,avg_cpu
2017-01-19 09:40:00,674739.3286970062,2068271.413208021,1135653.9389080086
2017-01-26 15:40:00,807089.6851510019,2519312.001094059,1429342.3641630048
2017-01-12 19:10:00,763955.5314310023,2357535.1472659763,1329728.0327259998
2017-01-10 15:45:00,740351.3323070008,2360182.85105002,1299469.9779569977
2017-01-12 15:10:00,754784.6558700063,2349209.8594949967,1316441.3441689948
2017-01-03 23:35:00,671969.479520988,2203801.594843986,1164756.3377840142
2017-01-18 15:15:00,724182.0904650077,2257288.238026975,1267014.83964001
2017-01-01 13:05:00,675594.6655360076,2221344.673004985,1194523.3184869888
2017-01-24 15:30:00,745352.972682001,2319614.361760006,1296731.690004987
2017-01-04 19:15:00,775952.5490400009,2435068.4180279844,1355236.0088409998
2017-01-11 15:00:00,733362.7920159951,2294634.657949969,1268253.6077920056
2017-01-03 06:20:00,657804.6213360084,2100687.6618290157,1112694.9734039926
2017-01-23 07:55:00,663897.1244890167,2031935.484184001,1115403.318831015
2017-01-24 13:50:00,723829.3021229956,2212645.476852982,1240419.3319600122
2017-01-14 19:30:00,770321.8809120116,2336436.1555419527,1338590.5526430248
2017-01-26 20:15:00,856364.0125589994,2510001.452456007,1454860.5990899643
2017-01-16 05:30:00,654918.0182979979,1954738.2297480009,1074996.8654390073
2017-01-06 20:45:00,763082.9423869976,2357549.9352200218,1334415.610160014
2017-01-06 02:15:00,641066.1751590082,2034264.9577599976,1079445.076734986
2017-01-20 23:35:00,710902.5677459956,2189941.019357001,1214104.4444460075
2017-01-27 11:25:00,731079.3960540091,2284256.6734579992,1260925.2143300232
2017-01-12 14:30:00,754776.7138910019,2299046.7019890314,1295818.455148002
2017-01-13 22:50:00,697716.0404420021,2168676.7901469786,1205555.9280780056
2017-01-13 13:15:00,696794.1292700084,2190623.123972988,1201673.773761997
2017-01-11 22:10:00,693431.0488929946,2183226.0663039656,1185933.530454
2017-01-11 01:40:00,658879.165924006,2053641.392188981,1101591.2346950057
2017-01-29 00:10:00,709441.9810020081,2148825.706638975,1197410.9183130118
2017-01-29 18:20:00,812668.4315679941,2455383.4198829765,1408315.5687810003
2017-01-05 15:25:00,712160.4320849995,2375466.862281,1281333.6707379916
2017-01-29 11:15:00,744939.1476930119,2333079.7237049732,1311592.4099489956
2017-01-09 02:20:00,637730.60067102,1959394.123898,1048901.163026033
2017-01-08 20:45:00,735170.1784470151,2280070.2780620283,1262691.3920140038
2017-01-24 01:25:00,622868.9607800071,1964591.699829011,1057323.4960669936
2017-01-09 02:40:00,650897.646165991,2018675.690589989,1079551.0963760042
2017-01-02 20:50:00,734459.2458919941,2449163.8183170143,1309118.794034993
2017-01-03 17:55:00,752058.9970560069,2467566.3478580043,1349822.3829859958
2017-01-28 21:05:00,822423.4216619928,2445484.217072968,1420353.906950986
2017-01-08 18:35:00,792367.6965400093,2351312.3669429547,1348143.4209709887
2017-01-20 14:30:00,736430.0370109944,2304164.5591209787,1297341.023024987
2017-01-13 16:15:00,733114.2631950119,2515296.224257962,1346825.5994820015
2017-01-18 09:00:00,656305.0532980022,2013457.9741909343,1102750.808478984
2017-01-25 00:05:00,697063.2112109958,2089280.939396998,1159257.4985870286
2017-01-08 05:50:00,622524.4443490086,1946061.6118909856,1036300.6171390128
2017-01-04 20:10:00,741210.0403819996,2406493.793711957,1316719.3329859846
2017-01-02 03:10:00,622459.7496840118,2063394.599269014,1081707.1317600026
2017-01-24 14:50:00,758568.5309250108,2341456.8198450184,1321168.5719270129
2017-01-20 10:55:00,694681.5185519903,2253186.3127090456,1211485.9686139848
2017-01-03 12:00:00,712049.545412998,2312850.1996560004,1243303.9851839803
2017-01-08 20:00:00,751751.6359819806,2300445.678020986,1288982.0910739815
2017-01-10 12:55:00,711449.4216310006,2249195.3515730044,1219248.8652360134
2017-01-29 20:15:00,793680.6534379906,2372530.464986014,1355164.404303997
2017-01-27 17:20:00,801796.1889920059,2447912.604726014,1396540.601775001
2017-01-19 20:10:00,710112.7537769894,2212760.0841689752,1242134.4605140206
2017-01-06 13:30:00,718242.0523670042,2248760.2063830057,1239024.9794459925
2017-01-29 01:35:00,677276.1468600042,2048758.1789759824,1124728.3606900058
2017-01-28 04:10:00,656375.1609059982,1985003.71139398,1090655.6490829834
2017-01-28 01:30:00,689476.8502389904,2077319.668244968,1147405.6498190172
2017-01-27 23:45:00,712780.4971499976,2167085.797352003,1212825.0420149905
2017-01-12 12:05:00,702689.687040999,2176153.9684240185,1190696.7344180043
2017-01-15 19:50:00,757460.6984740101,2325668.5003009853,1331430.5326350238
2017-01-01 09:25:00,634423.0206429908,2160618.0258719902,1124410.3680959886
2017-01-17 05:15:00,635018.22465599,1934214.1548059927,1057340.194150001
2017-01-24 07:30:00,671027.5741340171,2033148.3890979935,1117994.1369740015
2017-01-12 04:55:00,669683.968796,2001378.4601519925,1097494.3940140242
2017-01-07 18:50:00,739541.9454329945,2322552.4925919445,1297910.1193169963
2017-01-25 00:35:00,680803.1816049968,2087708.7360529783,1151120.0919210224
2017-01-10 07:25:00,693688.5249979935,2159931.153996984,1165471.3051459985
2017-01-21 17:25:00,735914.7907820048,2413698.469002989,1328390.6275349893
2017-01-20 21:40:00,771362.3924190024,2449173.8786299704,1371471.2523899977
2017-01-24 09:40:00,672256.5829280039,2121039.718691008,1152376.086142998
2017-01-11 15:45:00,737895.0545800049,2338060.300097017,1292063.463042996
2017-01-01 02:35:00,648012.5157510046,2107531.1590360315,1116754.2032229942
